Ticket,Parch,SibSp,passenger_sex,passenger_class,Fare,Embarked,Age
389,0,0,1,0,7.8958,2,40.0
673,0,0,0,1,10.5,2,50.0
47,0,0,1,2,31.0,2,28.0
480,1,4,1,0,29.125,1,8.0
326,0,0,0,0,7.75,2,45.0
174,1,0,1,0,8.5167,0,0.42
187,2,0,0,0,15.7417,0,1.0
71,0,0,0,2,77.9583,2,21.0
528,0,0,1,0,8.05,2,28.0
486,1,0,0,0,12.475,2,27.0
182,0,0,1,0,7.225,0,28.0
52,0,0,1,2,26.55,2,62.0
378,0,0,1,0,8.6625,0,33.0
664,0,0,1,0,7.925,2,32.0
19,0,0,1,2,26.55,2,28.0
7,1,0,0,2,57.9792,0,44.0
676,2,2,0,0,34.375,2,21.0
276,0,0,0,0,7.6292,1,28.0
672,0,0,1,1,10.5,2,19.0
118,0,0,1,1,11.5,2,18.0
470,1,0,1,0,16.1,2,44.0
385,0,0,1,0,7.8958,2,30.0
509,0,0,0,0,9.8375,2,22.0
36,0,1,1,2,66.6,2,29.0
456,0,0,1,2,34.0208,2,47.0
634,2,1,1,1,41.5792,0,25.0
307,2,0,0,0,24.15,2,10.0
253,0,0,1,1,10.5,2,26.0
331,1,1,0,0,14.4,2,28.0
334,0,1,1,0,7.775,2,25.0
497,0,1,1,0,19.9667,2,28.0
654,0,0,1,0,8.05,2,30.0
438,0,0,1,0,6.75,1,19.0
24,0,0,1,2,26.0,2,28.0
588,1,0,0,2,153.4625,2,58.0
354,0,0,1,0,7.8958,2,28.0
80,0,0,1,0,56.4958,2,28.0
476,0,1,0,0,16.1,2,28.0
4,0,1,0,2,75.25,0,60.0
590,0,0,1,2,50.4958,2,31.0
244,0,1,1,0,6.4958,2,18.0
214,1,1,1,0,7.2292,0,15.0
475,0,0,1,0,8.05,2,28.0
551,1,1,1,0,20.25,2,16.0
371,0,0,1,0,7.8958,2,28.0
193,0,1,0,0,14.4542,0,14.5
668,0,1,1,0,15.85,2,28.0
587,0,0,1,2,76.7292,0,27.0
464,0,0,0,0,7.75,1,22.0
412,1,1,1,0,7.8542,2,18.0
384,0,0,0,0,7.8958,2,28.0
613,0,0,1,2,135.6333,0,22.0
666,0,0,1,0,7.925,2,21.0
611,0,1,0,2,108.9,0,17.0
380,0,0,1,0,7.8958,0,33.0
463,0,0,1,0,7.75,1,28.0
516,0,0,1,0,8.05,2,55.5
556,1,1,0,1,26.25,2,31.0
442,0,0,1,0,7.75,1,28.0
141,1,0,0,2,211.3375,2,43.0
164,0,0,1,1,13.0,2,52.0
49,0,1,0,2,53.1,2,35.0
581,0,0,0,2,69.3,0,24.0
395,1,3,0,0,21.075,2,3.0
418,0,0,0,0,7.7333,1,16.0
80,0,0,1,0,56.4958,2,32.0
658,0,0,1,0,7.125,2,22.0
620,0,0,1,0,7.55,2,28.0
533,0,0,1,0,8.05,2,19.0
454,0,1,0,2,78.2667,0,54.0
70,0,0,1,2,30.5,0,32.0
195,0,0,0,0,7.225,0,15.0
161,0,0,1,1,13.0,2,50.0
313,0,0,1,0,9.5,2,24.0
171,0,0,1,0,7.225,0,22.0
34,0,0,1,2,50.0,2,28.0
535,0,0,1,0,8.05,2,20.0
252,0,1,1,1,21.0,2,34.0
226,0,0,1,1,26.0,2,54.0
223,0,0,1,1,13.0,2,39.0
587,0,1,1,2,76.7292,0,48.0
139,0,0,1,1,26.0,2,16.0
400,0,0,1,0,7.8542,2,21.0
91,0,1,1,2,78.85,2,36.0
660,0,1,1,0,7.925,2,20.0
336,0,0,0,0,7.775,2,18.0
622,0,0,1,1,12.525,2,51.0
369,0,0,1,0,7.8958,2,26.0
446,0,0,1,0,7.75,1,40.5
53,0,1,1,1,21.0,2,29.0
515,0,0,1,0,8.05,2,28.0
39,0,0,1,2,35.5,2,45.0
676,2,2,0,0,34.375,2,9.0
44,0,0,1,2,26.55,2,56.0
680,1,1,1,2,71.0,2,70.0
419,0,0,0,0,7.7333,1,28.0
353,0,0,1,0,7.8958,2,22.0
2,0,0,1,2,52.0,2,28.0
302,0,2,0,0,18.0,2,18.0
629,0,0,1,1,15.05,0,28.0
492,0,1,0,0,9.825,2,21.0
621,0,2,1,1,73.5,2,32.0
490,0,0,0,0,9.5875,2,37.0
652,0,0,1,0,8.05,2,28.0
562,1,1,1,0,15.9,2,3.0
488,1,3,1,0,25.4667,2,28.0
310,0,0,1,0,9.5,2,16.0
143,0,0,0,1,13.0,2,34.0
88,0,0,0,2,25.9292,2,48.0
566,2,5,1,0,46.9,2,14.0
321,0,0,1,0,7.75,2,51.0
613,0,0,0,2,135.6333,2,35.0
23,0,0,1,2,26.55,2,51.0
250,0,0,1,0,7.925,2,39.0
499,0,0,1,0,8.1125,2,28.0
491,0,1,0,0,9.825,2,20.0
420,0,0,1,0,14.5,2,28.0
32,0,0,0,2,80.0,-1,38.0
574,0,0,1,0,0.0,2,49.0
114,1,2,0,1,39.0,2,4.0
192,0,0,1,0,7.225,0,28.0
54,1,1,1,2,52.5542,2,37.0
211,1,0,0,0,14.4542,0,18.0
402,0,0,1,0,7.7958,2,24.0
274,0,0,1,0,8.05,2,22.0
561,2,1,0,1,27.75,2,33.0
84,0,1,1,2,89.1042,0,49.0
289,2,0,1,2,81.8583,2,4.0
139,0,0,1,1,26.0,2,35.0
484,1,0,0,0,9.35,2,18.0
141,1,0,0,2,211.3375,2,15.0
333,5,1,0,0,31.275,2,39.0
57,0,1,0,2,39.6,0,48.0
541,0,0,1,0,7.1417,2,24.0
348,0,0,1,0,7.65,2,19.0
382,0,0,1,0,7.8958,2,28.0
495,0,0,1,0,16.1,2,28.5
624,0,0,1,1,10.5,2,62.0
186,0,1,1,0,11.2417,0,12.0
103,0,0,1,1,13.5,2,28.0
580,0,0,1,2,26.2875,2,42.0
283,0,0,0,0,7.8792,1,28.0
46,0,0,1,2,42.4,2,28.0
83,2,0,1,2,110.8833,0,17.0
180,1,1,0,1,26.0,2,2.0
179,0,0,1,0,7.225,0,28.0
600,0,1,1,2,82.1708,0,28.0
227,0,0,1,1,13.0,2,19.0
325,0,0,0,0,7.775,2,25.0
346,0,0,1,0,7.65,2,42.0
303,0,0,1,0,9.0,2,47.0
517,0,0,1,0,8.05,2,30.0
545,0,0,0,0,7.25,2,22.0
538,2,0,1,0,14.5,2,40.5
72,0,1,1,2,55.9,2,50.0
469,0,0,1,0,24.15,1,28.0
430,0,0,1,0,8.05,2,44.0
130,0,0,0,1,13.0,2,28.0
331,1,1,1,0,14.4,2,34.0
38,0,0,0,2,26.55,2,58.0
581,0,0,0,2,69.3,0,24.0
460,0,0,1,0,7.75,1,70.5
417,1,0,1,2,77.2875,2,21.0
41,0,0,1,2,30.5,2,55.0
208,0,0,0,0,7.2292,0,13.0
170,0,0,1,1,26.0,2,39.0
333,2,4,1,0,31.275,2,4.0
298,0,0,1,0,8.05,2,29.0
50,0,0,1,2,30.5,2,27.0
206,0,0,1,0,7.2292,0,30.0
443,0,1,1,0,7.75,1,28.0
150,0,1,1,1,26.0,2,34.0
69,0,0,1,2,35.5,0,56.0
162,1,0,0,1,19.5,2,41.0
469,0,1,1,0,24.15,1,28.0
33,2,1,0,2,120.0,2,14.0
536,0,1,0,0,16.1,2,26.0
272,0,0,1,0,7.25,2,28.0
233,0,1,0,1,26.0,2,19.0
453,1,1,0,2,164.8667,2,45.0
105,0,0,1,1,13.0,2,27.0
582,0,0,0,2,49.5042,0,24.0
324,0,0,1,0,7.775,2,19.0
401,0,0,1,0,7.7958,2,21.0
231,0,0,1,1,10.5,2,19.0
505,0,0,1,0,8.6542,2,33.0
135,0,0,1,1,0.0,2,28.0
349,0,0,1,0,7.8958,2,28.0
155,1,0,1,1,33.0,2,28.0
540,0,0,1,0,8.05,2,28.0
508,0,0,0,0,10.5167,2,22.0
383,0,0,0,0,8.6833,2,31.0
350,0,0,1,0,7.8958,2,25.0
0,0,0,0,2,86.5,2,16.0
316,1,1,0,0,10.4625,2,29.0
395,4,0,0,0,21.075,2,29.0
675,2,1,1,0,23.45,2,28.0
248,2,4,0,0,7.925,2,17.0
77,0,0,0,0,7.75,1,28.0
451,0,0,0,0,7.7375,1,28.0
203,2,0,0,0,15.2458,0,28.0
566,2,5,1,0,46.9,2,1.0
337,2,3,0,0,27.9,2,2.0
219,0,0,0,1,13.0,2,32.5
309,0,0,1,0,9.5,2,28.0
449,0,0,1,0,7.7417,1,25.0
36,0,1,0,2,66.6,2,22.0
113,1,1,1,1,26.0,2,2.0
43,0,1,0,2,52.0,2,35.0
387,0,0,1,0,7.8958,2,26.0
337,4,1,0,0,27.9,2,45.0
448,0,0,1,0,6.95,1,28.0
671,0,0,0,0,7.925,2,23.0
344,2,0,0,0,11.1333,2,27.0
586,0,0,0,2,146.5208,0,58.0
249,1,4,1,0,39.6875,2,1.0
221,0,1,1,1,11.5,2,21.0
568,2,8,0,0,69.55,2,28.0
240,1,1,1,1,39.0,2,60.0
621,0,0,1,1,73.5,2,18.0
410,0,0,1,0,7.7958,2,22.0
292,0,0,1,0,8.05,2,26.0
199,0,0,1,0,7.2292,0,28.0
480,1,4,1,0,29.125,1,4.0
